1 | 2100|73702 Lucas Crest Apt. 783 Marcuston, NV 00585|1|5|0
2 | 7704|652 Amanda Stravenue West Gregory, WI 05774|1|9|0
3 | 313|6222 Norris Canyon Apt. 635 South Regina, SC 80284|2|11|0
4 | 8927|28288 Jones Meadow Apt. 118 Glennfurt, GA 55610|1|13|0
5 | 3128|8813 Karl Roads Port Daniel, WY 12140|1|13|1
6 | 8808|311 Brittany Drive West Sharon, ND 26838|2|5|0
7 | 520|14524 Edward Court Jacquelineburgh, NV 27433|1|12|0
8 | 4094|8507 Velasquez Parkways Lake Ashleyborough, AL 56067|2|12|1
9 | 4042|PSC 0232, Box 5871 APO AA 25077|1|17|0
10 | 1833|9478 Macdonald Falls West Jacqueline, MN 41125|2|9|1
11 | 3266|6563 Meadows Pines Adamsfort, AL 10187|1|15|1
12 | 908|83035 Gaines Rapids Johnsonside, GA 02388|1|8|0
13 | 5955|26173 Kim Island Apt. 194 Millermouth, GA 02056|1|11|1
14 | 8516|45989 Nguyen Springs Brennanhaven, UT 81459|2|5|1
15 | 8497|15374 Flynn Rue Alimouth, MD 57011|2|11|1
16 | 3169|9737 Herrera Curve West Karenport, NM 66130|1|5|0
17 | 7488|318 Graves Neck Heatherfurt, MS 18246|2|17|0
18 | 7367|716 Susan Springs Suite 791 Maryborough, CT 91759|1|14|1
19 | 1804|0435 Tara Divide Apt. 162 Gomezborough, IN 67998|1|13|0
20 | 2275|238 Ronald Meadow Leeville, UT 54474|2|15|0
21 | 6070|Unit 4066 Box 0263 DPO AP 58724|2|14|1
22 | 8278|PSC 2229, Box 7879 APO AA 20800|2|11|1
23 | 7631|80158 Watson Station Apt. 358 North Lindaport, OH 73423|2|6|0
24 | 2159|800 Mcknight Dale Apt. 626 Olsonberg, PA 53248|1|16|1
25 | 3115|65892 Collins Fall Suite 017 East Patriciachester, TN 73252|1|8|0
26 | 8190|73074 York Oval Apt. 325 Lake David, MD 07670|2|6|0
27 | 4817|4072 Melissa Center Katelynshire, NM 62450|1|8|0
28 | 3563|9841 Smith Trafficway Robertsonshire, TN 51451|2|10|1
29 | 6592|912 Peter Lights Michaelberg, TX 67237|1|14|1
30 | 6865|538 Waters Drives Suite 738 West Rachel, MD 48570|2|15|1
31 | 2411|24940 Williams Via East Amanda, MA 94168|1|6|0
